lanes,warps,kernel,N,cycles,active_lanes,gmem_txns,divergences
4,2,vadd,1024,2821,9216,768,0
4,2,saxpy,1024,3333,11264,768,0
4,2,fir,1024,4101,11264,1536,0
4,2,relu,1024,2564,7680,512,256
4,2,collatz,256,15620,45856,128,1472
4,4,vadd,1024,2821,9216,768,0
4,4,saxpy,1024,3333,11264,768,0
4,4,fir,1024,4101,11264,1536,0
4,4,relu,1024,2564,7680,512,256
4,4,collatz,256,15620,45856,128,1472
4,8,vadd,1024,2823,9216,768,0
4,8,saxpy,1024,3335,11264,768,0
4,8,fir,1024,4103,11264,1536,0
4,8,relu,1024,2566,7680,512,256
4,8,collatz,256,15618,45856,128,1472
8,2,vadd,1024,1413,9216,384,0
8,2,saxpy,1024,1669,11264,384,0
8,2,fir,1024,2053,11264,768,0
8,2,relu,1024,1284,7680,256,128
8,2,collatz,256,9637,45856,64,1216
8,4,vadd,1024,1413,9216,384,0
8,4,saxpy,1024,1669,11264,384,0
8,4,fir,1024,2053,11264,768,0
8,4,relu,1024,1284,7680,256,128
8,4,collatz,256,9637,45856,64,1216
8,8,vadd,1024,1415,9216,384,0
8,8,saxpy,1024,1671,11264,384,0
8,8,fir,1024,2055,11264,768,0
8,8,relu,1024,1286,7680,256,128
8,8,collatz,256,9639,45856,64,1216
16,2,vadd,1024,709,9216,192,0
16,2,saxpy,1024,837,11264,192,0
16,2,fir,1024,1029,11264,384,0
16,2,relu,1024,644,7680,128,64
16,2,collatz,256,4821,45856,32,608
16,4,vadd,1024,709,9216,192,0
16,4,saxpy,1024,837,11264,192,0
16,4,fir,1024,1029,11264,384,0
16,4,relu,1024,644,7680,128,64
16,4,collatz,256,4821,45856,32,608
16,8,vadd,1024,711,9216,192,0
16,8,saxpy,1024,839,11264,192,0
16,8,fir,1024,1031,11264,384,0
16,8,relu,1024,646,7680,128,64
16,8,collatz,256,4823,45856,32,608
32,2,vadd,1024,357,9216,96,0
32,2,saxpy,1024,421,11264,96,0
32,2,fir,1024,517,11264,192,0
32,2,relu,1024,324,7680,64,32
32,2,collatz,256,2413,45856,16,304
32,4,vadd,1024,357,9216,96,0
32,4,saxpy,1024,421,11264,96,0
32,4,fir,1024,517,11264,192,0
32,4,relu,1024,324,7680,64,32
32,4,collatz,256,2413,45856,16,304
32,8,vadd,1024,359,9216,96,0
32,8,saxpy,1024,423,11264,96,0
32,8,fir,1024,519,11264,192,0
32,8,relu,1024,326,7680,64,32
32,8,collatz,256,2415,45856,16,304
